KOM203,KOM206,KOM311,CLASS
B,A,B,BAIK
A,A,A,BAIK
A,AB,C,BAIK
A,B,D,BAIK
A,A,A,BAIK
AB,BC,A,BAIK
AB,A,C,BAIK
B,AB,B,BAIK
AB,AB,BC,BAIK
A,AB,B,BAIK
A,B,A,BAIK
AB,A,B,BAIK
B,AB,B,BAIK
B,BC,BC,BAIK
A,AB,B,BAIK
B,B,B,BAIK
AB,AB,B,BAIK
AB,AB,B,BAIK
B,B,B,BAIK
A,AB,AB,BAIK
A,A,B,BAIK
A,AB,B,BAIK
A,A,B,BAIK
AB,AB,B,BAIK
AB,B,B,BAIK
A,B,B,BAIK
BC,C,BC,BAIK
B,B,A,BAIK
A,AB,B,BAIK
AB,AB,B,BAIK
AB,BC,B,BAIK
AB,B,B,BAIK
AB,AB,BC,BAIK
A,A,BC,BAIK
B,AB,B,BAIK
AB,AB,B,BAIK
AB,B,B,BAIK
A,AB,B,BAIK
A,AB,B,BAIK
B,A,B,BAIK
A,A,B,BAIK
A,B,A,BAIK
A,A,B,BAIK
AB,AB,BC,BAIK
B,A,B,BAIK
AB,B,B,BAIK
B,BC,BC,BAIK
A,A,BC,BAIK
B,BC,BC,BAIK
AB,AB,B,BAIK
A,B,A,BAIK
B,AB,B,BAIK
A,AB,B,BAIK
A,AB,AB,BAIK
AB,B,B,BAIK
A,A,B,BAIK
A,AB,C,BAIK
A,A,B,BAIK
A,A,A,BAIK
AB,AB,B,BAIK
A,AB,B,BAIK
B,B,A,BAIK
A,B,B,BAIK
AB,AB,B,BAIK
A,A,A,BAIK
AB,AB,B,BAIK
A,AB,B,BAIK
AB,AB,B,BAIK
B,BC,BC,BAIK
AB,AB,BC,BAIK
AB,AB,B,BAIK
A,A,B,BAIK
A,AB,B,BAIK
AB,AB,BC,BAIK
AB,AB,B,BAIK
A,AB,C,BAIK
BC,C,BC,BAIK
B,A,B,BAIK
A,AB,C,BAIK
B,B,A,BAIK
AB,B,B,BAIK
AB,AB,BC,BAIK
B,BC,BC,BAIK
A,AB,B,BAIK
AB,B,B,BAIK
AB,AB,B,BAIK
AB,A,C,BAIK
B,AB,B,BAIK
B,BC,BC,BAIK
A,A,BC,BAIK
A,A,B,BAIK
B,BC,B,CUKUP
B,B,A,CUKUP
BC,BC,C,CUKUP
C,D,B,CUKUP
B,C,BC,CUKUP
A,A,A,CUKUP
A,AB,B,CUKUP
A,AB,A,CUKUP
A,AB,AB,CUKUP
A,C,B,CUKUP
B,B,B,CUKUP
B,B,BC,CUKUP
C,C,C,CUKUP
A,B,C,CUKUP
AB,BC,B,CUKUP
A,AB,B,CUKUP
AB,AB,B,CUKUP
C,E,C,CUKUP
C,BC,C,CUKUP
B,D,C,CUKUP
B,BC,B,CUKUP
AB,D,B,CUKUP
BC,C,B,CUKUP
B,BC,B,CUKUP
B,BC,BC,CUKUP
A,BC,B,CUKUP
B,B,B,CUKUP
AB,B,C,CUKUP
BC,C,BC,CUKUP
AB,A,A,CUKUP
AB,AB,B,CUKUP
B,B,AB,CUKUP
A,AB,AB,CUKUP
C,C,C,CUKUP
AB,B,A,CUKUP
A,AB,A,CUKUP
B,BC,AB,CUKUP
B,BC,B,CUKUP
B,AB,B,CUKUP
AB,BC,B,CUKUP
A,B,AB,CUKUP
A,B,A,CUKUP
B,BC,C,CUKUP
A,B,B,CUKUP
A,A,B,CUKUP
AB,BC,B,CUKUP
A,AB,B,CUKUP
A,BC,C,CUKUP
C,B,C,CUKUP
B,B,B,CUKUP
A,AB,AB,CUKUP
AB,C,BC,CUKUP
A,AB,BC,CUKUP
B,BC,C,CUKUP
C,C,C,CUKUP
A,AB,BC,CUKUP
B,BC,BC,CUKUP
A,A,A,CUKUP
A,BC,AB,CUKUP
A,BC,AB,CUKUP
B,C,B,CUKUP
AB,C,AB,CUKUP
BC,B,A,CUKUP
A,A,AB,CUKUP
A,B,B,CUKUP
B,BC,B,CUKUP
A,B,B,CUKUP
AB,AB,BC,CUKUP
B,BC,C,CUKUP
A,BC,B,CUKUP
B,AB,AB,CUKUP
B,AB,B,CUKUP
AB,B,A,CUKUP
