"","KOM202","KOM331","CLASS"
"32","BC","BC","CUKUP"
"85","A","C","CUKUP"
"44","B","BC","BAIK"
"93","A","B","BAIK"
"98","A","C","CUKUP"
"5","A","D","CUKUP"
"54","BC","BC","BAIK"
"91","A","D","CUKUP"
"56","A","A","BAIK"
"46","BC","BC","BAIK"
"94","A","BC","BAIK"
"106","B","A","CUKUP"
"66","B","AB","CUKUP"
"55","A","AB","BAIK"
"10","AB","BC","CUKUP"
"84","B","AB","BAIK"
"23","B","BC","CUKUP"
"4","C","BC","CUKUP"
"30","BC","D","CUKUP"
"107","A","A","BAIK"
"79","B","A","BAIK"
"61","B","C","CUKUP"
"100","B","A","BAIK"
"89","BC","BC","CUKUP"
"86","BC","BC","CUKUP"
"59","AB","B","BAIK"
"45","A","A","BAIK"
"49","B","BC","BAIK"
"24","BC","C","CUKUP"
"12","AB","A","BAIK"
"76","A","A","BAIK"
"70","B","C","CUKUP"
"53","BC","B","BAIK"
"80","BC","D","CUKUP"
"68","B","D","BAIK"
"9","AB","BC","CUKUP"
"15","B","BC","BAIK"
"29","BC","BC","CUKUP"
"69","BC","BC","BAIK"
"51","B","AB","CUKUP"
"3","B","BC","BAIK"
"26","B","B","BAIK"
"82","A","BC","BAIK"
"7","B","C","CUKUP"
"31","C","C","CUKUP"
"11","B","BC","CUKUP"
"72","B","C","CUKUP"
"39","C","BC","CUKUP"
"105","B","BC","BAIK"
"19","BC","B","BAIK"
"108","AB","A","CUKUP"
"103","BC","A","CUKUP"
"18","BC","B","BAIK"
"13","AB","BC","CUKUP"
"36","AB","A","BAIK"
"20","BC","AB","BAIK"
"73","A","BC","CUKUP"
"34","C","BC","CUKUP"
"48","B","AB","BAIK"
"99","A","BC","CUKUP"
"87","B","AB","BAIK"
"65","A","BC","CUKUP"
"57","B","B","BAIK"
"1","BC","BC","CUKUP"
"17","C","D","CUKUP"
"8","A","B","BAIK"
"50","A","BC","CUKUP"
"81","B","C","CUKUP"
"78","A","C","CUKUP"
"101","A","B","CUKUP"
"52","A","AB","BAIK"
"102","B","D","CUKUP"
"90","B","D","BAIK"
"43","A","BC","CUKUP"
"58","C","AB","CUKUP"
"97","B","BC","BAIK"
"22","A","AB","BAIK"
"27","BC","C","CUKUP"
"83","BC","C","CUKUP"
"38","A","BC","BAIK"
"37","B","A","BAIK"
"88","A","BC","BAIK"
"6","A","A","BAIK"
"64","BC","BC","CUKUP"
"47","A","AB","BAIK"
"25","B","BC","CUKUP"
"62","BC","BC","CUKUP"
"74","BC","C","CUKUP"
"14","A","BC","CUKUP"
"41","A","AB","BAIK"
"63","B","D","CUKUP"
"40","AB","AB","BAIK"
"96","BC","AB","BAIK"
"33","A","AB","CUKUP"
"77","B","AB","CUKUP"
"75","A","A","BAIK"
"21","A","C","CUKUP"
"42","AB","A","BAIK"
