KOM202,KOM207,KOM321,CLASS
A,AB,C,BAIK
B,A,BC,BAIK
A,A,A,BAIK
C,B,C,BAIK
B,A,BC,BAIK
B,BC,C,BAIK
A,B,AB,BAIK
AB,BC,B,BAIK
BC,B,BC,BAIK
A,AB,BC,BAIK
A,A,A,BAIK
A,A,BC,BAIK
BC,BC,BC,BAIK
A,A,B,BAIK
A,B,BC,BAIK
A,B,C,BAIK
B,A,AB,BAIK
A,AB,B,BAIK
A,B,B,BAIK
BC,B,C,BAIK
B,B,BC,BAIK
A,A,B,BAIK
A,A,A,BAIK
B,AB,D,BAIK
A,A,AB,BAIK
A,A,A,BAIK
A,A,AB,BAIK
A,A,AB,BAIK
B,AB,B,BAIK
BC,A,BC,BAIK
A,AB,B,BAIK
B,AB,BC,BAIK
B,A,BC,BAIK
B,B,BC,BAIK
A,A,B,BAIK
AB,A,C,BAIK
AB,B,BC,BAIK
A,A,B,BAIK
A,A,B,BAIK
AB,A,B,BAIK
A,A,B,BAIK
B,B,D,BAIK
BC,A,AB,BAIK
A,AB,BC,BAIK
A,A,C,CUKUP
AB,B,B,CUKUP
BC,A,B,CUKUP
BC,BC,B,CUKUP
B,B,C,CUKUP
C,BC,D,CUKUP
BC,BC,C,CUKUP
BC,BC,C,CUKUP
BC,B,BC,CUKUP
AB,AB,C,CUKUP
BC,BC,B,CUKUP
C,BC,C,CUKUP
BC,AB,C,CUKUP
B,AB,B,CUKUP
B,AB,BC,CUKUP
A,AB,C,CUKUP
A,A,AB,CUKUP
C,BC,C,CUKUP
BC,BC,C,CUKUP
BC,C,C,CUKUP
C,BC,BC,CUKUP
D,B,B,CUKUP
AB,BC,BC,CUKUP
C,BC,D,CUKUP
A,AB,BC,CUKUP
B,BC,C,CUKUP
AB,A,BC,CUKUP
C,B,B,CUKUP
C,BC,D,CUKUP
BC,BC,D,CUKUP
BC,BC,BC,CUKUP
A,AB,BC,CUKUP
A,AB,BC,CUKUP
BC,AB,C,CUKUP
AB,A,BC,CUKUP
C,AB,C,CUKUP
A,BC,B,CUKUP
A,BC,BC,CUKUP
D,B,C,CUKUP
BC,BC,C,CUKUP
BC,BC,C,CUKUP
A,A,BC,CUKUP
A,A,D,CUKUP
AB,A,AB,CUKUP
