KOM203,KOM311,KOM312,CLASS
B,B,D,CUKUP
B,A,BC,BAIK
BC,C,C,CUKUP
C,B,D,CUKUP
B,B,AB,CUKUP
A,A,A,BAIK
B,BC,BC,CUKUP
A,A,C,CUKUP
A,C,A,CUKUP
A,B,BC,CUKUP
A,A,BC,BAIK
A,AB,BC,BAIK
A,B,BC,CUKUP
A,D,B,CUKUP
B,B,D,CUKUP
B,BC,C,CUKUP
C,C,D,CUKUP
A,C,BC,CUKUP
AB,B,BC,CUKUP
A,B,BC,CUKUP
AB,B,BC,CUKUP
A,A,B,BAIK
AB,A,B,CUKUP
C,C,BC,CUKUP
C,C,C,CUKUP
AB,C,AB,CUKUP
B,C,BC,CUKUP
B,B,B,CUKUP
B,B,C,CUKUP
AB,B,C,CUKUP
BC,B,C,CUKUP
B,B,C,CUKUP
AB,BC,B,CUKUP
B,BC,D,CUKUP
A,B,BC,CUKUP
B,B,BC,CUKUP
A,B,A,CUKUP
AB,C,C,CUKUP
BC,BC,C,CUKUP
A,A,AB,CUKUP
AB,A,BC,BAIK
AB,B,A,BAIK
AB,B,BC,CUKUP
B,AB,C,CUKUP
A,AB,BC,CUKUP
C,C,BC,CUKUP
C,A,BC,CUKUP
AB,A,BC,CUKUP
A,AB,BC,CUKUP
B,B,B,CUKUP
B,B,C,CUKUP
B,B,C,CUKUP
B,BC,AB,CUKUP
B,B,BC,CUKUP
AB,AB,BC,CUKUP
A,A,BC,CUKUP
A,B,B,BAIK
A,C,C,CUKUP
B,B,C,CUKUP
A,B,BC,CUKUP
A,B,C,BAIK
B,B,BC,CUKUP
AB,B,B,CUKUP
B,B,A,CUKUP
AB,B,BC,CUKUP
A,C,C,CUKUP
AB,B,B,CUKUP
C,C,BC,CUKUP
B,B,BC,CUKUP
B,B,B,CUKUP
A,AB,BC,CUKUP
AB,BC,C,CUKUP
A,BC,C,CUKUP
B,C,BC,CUKUP
A,AB,A,BAIK
A,B,AB,CUKUP
A,B,B,CUKUP
A,B,B,BAIK
AB,B,B,CUKUP
C,C,E,CUKUP
AB,B,B,CUKUP
A,BC,BC,CUKUP
B,BC,C,CUKUP
A,B,A,CUKUP
A,A,C,CUKUP
BC,BC,B,CUKUP
A,AB,BC,CUKUP
B,A,B,CUKUP
A,AB,C,CUKUP
B,B,BC,CUKUP
AB,AB,C,CUKUP
BC,A,C,CUKUP
A,AB,BC,CUKUP
A,B,BC,CUKUP
A,B,B,CUKUP
B,B,BC,CUKUP
A,B,BC,CUKUP
AB,B,B,CUKUP
AB,B,AB,CUKUP
AB,B,B,CUKUP
AB,BC,C,CUKUP
B,C,C,CUKUP
A,B,BC,CUKUP
B,AB,C,CUKUP
B,B,C,CUKUP
AB,BC,B,CUKUP
A,BC,B,CUKUP
AB,A,C,CUKUP
