KOM203,KOM206,KOM312,CLASS
B,B,D,CUKUP
B,AB,BC,BAIK
BC,C,C,CUKUP
C,C,D,CUKUP
B,B,AB,CUKUP
A,AB,A,BAIK
B,C,BC,CUKUP
A,B,C,BAIK
A,BC,A,CUKUP
A,B,BC,CUKUP
A,AB,BC,BAIK
A,AB,BC,BAIK
A,BC,BC,CUKUP
A,B,B,CUKUP
B,BC,D,CUKUP
B,B,C,CUKUP
C,C,D,CUKUP
A,B,BC,CUKUP
AB,C,BC,CUKUP
A,B,BC,CUKUP
AB,C,BC,CUKUP
A,A,B,BAIK
AB,C,B,BAIK
C,D,BC,CUKUP
C,B,C,CUKUP
AB,B,AB,CUKUP
B,C,BC,CUKUP
B,B,B,CUKUP
B,C,C,CUKUP
AB,D,C,CUKUP
BC,BC,C,CUKUP
B,C,C,CUKUP
AB,B,B,CUKUP
B,BC,D,CUKUP
A,C,BC,CUKUP
B,B,BC,CUKUP
A,B,A,CUKUP
AB,BC,C,CUKUP
BC,C,C,CUKUP
A,BC,AB,BAIK
AB,AB,BC,BAIK
AB,A,A,CUKUP
AB,B,BC,CUKUP
B,C,C,BAIK
A,B,BC,BAIK
C,C,BC,CUKUP
C,C,BC,BAIK
AB,B,BC,BAIK
A,B,BC,BAIK
B,B,B,CUKUP
B,B,C,CUKUP
B,BC,C,CUKUP
B,B,AB,CUKUP
B,B,BC,CUKUP
AB,BC,BC,BAIK
A,B,BC,BAIK
A,A,B,CUKUP
A,B,C,CUKUP
B,B,C,CUKUP
A,B,BC,CUKUP
A,A,C,CUKUP
B,BC,BC,CUKUP
AB,C,B,CUKUP
B,B,A,CUKUP
AB,BC,BC,CUKUP
A,D,C,CUKUP
AB,B,B,CUKUP
C,B,BC,CUKUP
B,BC,BC,CUKUP
B,B,B,CUKUP
A,B,BC,BAIK
AB,BC,C,CUKUP
A,B,C,CUKUP
B,B,BC,CUKUP
A,A,A,BAIK
A,B,AB,CUKUP
A,B,B,CUKUP
A,AB,B,CUKUP
AB,B,B,CUKUP
C,C,E,CUKUP
AB,B,B,CUKUP
A,B,BC,CUKUP
B,BC,C,CUKUP
A,BC,A,CUKUP
A,BC,C,BAIK
BC,C,B,CUKUP
A,B,BC,BAIK
B,B,B,BAIK
A,C,C,BAIK
B,BC,BC,CUKUP
AB,BC,C,BAIK
BC,B,C,BAIK
A,B,BC,BAIK
A,BC,BC,CUKUP
A,B,B,CUKUP
B,C,BC,CUKUP
A,C,BC,CUKUP
AB,B,B,CUKUP
AB,B,AB,CUKUP
AB,BC,B,CUKUP
AB,B,C,CUKUP
B,C,C,CUKUP
A,B,BC,CUKUP
B,BC,C,BAIK
B,BC,C,CUKUP
AB,BC,B,CUKUP
A,B,B,CUKUP
AB,B,C,BAIK
